Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
7, 8,0.093,1.106,2.481,2.721
7, 8,0.607,1.228,1.866,1.972
7, 8,0.495,0.95,2.55,2.762
7, 8,0.044,1.157,3.255,5.299
7, 8,0.035,0.591,1.016,1.084
7, 8,0.073,0.592,0.86,1.739
7, 8,0.064,0.72,2.847,4.209
7, 8,0.043,0.428,0.803,1.444
7, 8,0.03,0.179,0.749,1.152
7, 8,0.023,0.413,0.687,1.158
7, 8,0.033,0.279,0.97,1.171
7, 8,0.142,0.727,1.169,1.878
7, 8,0.305,0.681,1.054,2.385
7, 8,0.027,0.229,0.717,1.008
7, 8,0.028,0.185,0.903,1.11
7, 8,0.083,0.748,1.093,1.859
7, 8,0.072,0.649,2.223,2.927
